Scrip,Date,Open,High,Low,Close,Percent Change,Volume,Sector
NEPSE,8/20/2019,1222.04,1222.87,1212.1,1213.63,0.00 %,"272,509,024.00",OVER ALL MARKET
NEPSE,8/21/2019,1213.96,1216.3,1209.77,1214.05,0.00 %,"292,641,728.00",OVER ALL MARKET
NEPSE,8/22/2019,1214.37,1220.9,1212.43,1213.06,0.00 %,"261,670,203.00",OVER ALL MARKET
NEPSE,8/25/2019,1212.76,1213.23,1201.71,1209.62,0.00 %,"350,269,509.00",OVER ALL MARKET
NEPSE,8/26/2019,1209.7,1210.24,1199.31,1203.13,0.00 %,"380,596,571.00",OVER ALL MARKET
NEPSE,8/27/2019,1203.42,1212.3,1203.4,1208,0.00 %,"244,668,209.00",OVER ALL MARKET
NEPSE,8/28/2019,1209.7,1213.46,1197.32,1197.75,0.00 %,"371,022,592.00",OVER ALL MARKET
NEPSE,8/29/2019,1198.49,1201.23,1194.09,1196.41,0.00 %,"277,359,659.00",OVER ALL MARKET
NEPSE,9/1/2019,1196.6,1198.51,1184.06,1184.78,0.00 %,"297,398,003.00",OVER ALL MARKET
NEPSE,9/2/2019,1184.93,1190.88,1167.81,1170.34,0.00 %,"407,569,712.00",OVER ALL MARKET
NEPSE,9/3/2019,1170.87,1190.9,1156.72,1190.9,0.00 %,"510,552,041.00",OVER ALL MARKET
NEPSE,9/4/2019,1192.21,1198.48,1183.4,1194.77,0.00 %,"436,444,688.00",OVER ALL MARKET
NEPSE,9/5/2019,1195.89,1196.92,1189.05,1191.07,0.00 %,"290,177,357.00",OVER ALL MARKET
NEPSE,9/8/2019,1192.07,1192.33,1176.41,1178.46,0.00 %,"305,310,719.00",OVER ALL MARKET
NEPSE,9/9/2019,1178.47,1180.28,1166.09,1168.91,0.00 %,"299,200,764.00",OVER ALL MARKET
NEPSE,9/10/2019,1168.91,1172.82,1161.2,1166.67,0.00 %,"237,959,653.00",OVER ALL MARKET
NEPSE,9/11/2019,1166.68,1168.06,1161.95,1163.21,0.00 %,"341,745,136.00",OVER ALL MARKET
NEPSE,9/12/2019,1163.71,1164.09,1156.37,1157.88,0.00 %,"376,184,491.00",OVER ALL MARKET
NEPSE,9/15/2019,1157.68,1160.55,1140.01,1140.01,0.00 %,"288,099,912.00",OVER ALL MARKET
NEPSE,9/16/2019,1140.49,1140.55,1122.02,1123.83,0.00 %,"343,918,221.00",OVER ALL MARKET
NEPSE,9/17/2019,1127.26,1152.51,1127.26,1150.74,0.00 %,"383,957,426.00",OVER ALL MARKET
NEPSE,9/18/2019,1150.65,1173.14,1150.65,1172.15,0.00 %,"455,311,885.00",OVER ALL MARKET
NEPSE,9/19/2019,1173.44,1178.28,1155.3,1155.3,0.00 %,"399,930,871.00",OVER ALL MARKET
NEPSE,9/22/2019,1155.3,1157.79,1135.18,1139.25,0.00 %,"226,950,238.00",OVER ALL MARKET
NEPSE,9/23/2019,1139.92,1147.85,1137.87,1140.98,0.00 %,"177,279,039.00",OVER ALL MARKET
NEPSE,9/24/2019,1140.99,1141.62,1132.72,1134.56,0.00 %,"218,278,449.00",OVER ALL MARKET
NEPSE,9/25/2019,1134.56,1135.26,1130.88,1131.53,0.00 %,"166,921,799.00",OVER ALL MARKET
NEPSE,9/26/2019,1131.52,1133.8,1128.61,1129.8,0.00 %,"212,541,352.00",OVER ALL MARKET
NEPSE,9/29/2019,1129.81,1131.87,1123.66,1125.14,0.00 %,"241,498,554.00",OVER ALL MARKET
NEPSE,9/30/2019,1125.49,1135.56,1121.09,1135.56,0.00 %,"168,828,923.00",OVER ALL MARKET
NEPSE,10/1/2019,1135.05,1146.11,1134.82,1145.69,0.00 %,"311,488,652.00",OVER ALL MARKET
NEPSE,10/2/2019,1145.69,1149.7,1140.07,1140.71,0.00 %,"203,287,237.00",OVER ALL MARKET
NEPSE,10/3/2019,1142.44,1149.4,1138.58,1149.4,0.00 %,"176,633,514.00",OVER ALL MARKET
NEPSE,10/10/2019,1149.03,1151.81,1148.13,1149.01,0.00 %,"63,845,411.00",OVER ALL MARKET
